customer_id,tenure_months,contract_type,monthly_charges,total_charges,payment_method,paperless_billing,churn
1,12,month-to-month,65.5,786.0,credit_card,yes,no
2,24,one_year,45.0,1080.0,bank_transfer,no,no
3,3,month-to-month,85.2,255.6,electronic_check,yes,yes
4,36,two_year,55.0,1980.0,credit_card,no,no
5,8,month-to-month,75.0,600.0,electronic_check,yes,yes
6,48,two_year,95.0,4560.0,bank_transfer,yes,no
7,1,month-to-month,20.0,20.0,mailed_check,no,yes
8,18,one_year,60.0,1080.0,credit_card,yes,no
9,6,month-to-month,70.0,420.0,electronic_check,yes,yes
10,60,two_year,110.0,6600.0,bank_transfer,yes,no
11,15,month-to-month,50.0,750.0,mailed_check,no,no
12,30,one_year,80.0,2400.0,credit_card,yes,no
13,2,month-to-month,90.0,180.0,electronic_check,yes,yes
14,72,two_year,115.0,8280.0,bank_transfer,yes,no
15,9,month-to-month,40.0,360.0,mailed_check,no,yes
