house_id,sqft,bedrooms,bathrooms,year_built,garage_spaces,neighborhood,price,is_renovated
1,1500,3,2,1995,1,suburb,250000.0,standard
2,2200,4,3,2005,2,urban,420000.0,standard
3,1200,2,1,1980,0,rural,180000.0,standard
4,3000,5,4,2018,3,suburb,650000.0,standard
5,1800,3,2,2000,2,urban,310000.0,standard
6,2400,4,2.5,2010,2,suburb,480000.0,standard
7,1100,2,1,1975,1,rural,155000.0,standard
8,3500,5,4.5,2021,3,urban,820000.0,standard
9,1950,3,2,2003,2,suburb,340000.0,standard
10,1600,3,2,1990,1,rural,230000.0,standard
11,2800,4,3.5,2015,2,urban,590000.0,standard
12,1350,2,1.5,1985,1,suburb,210000.0,standard
13,2100,3,2.5,2008,2,suburb,390000.0,standard
14,4000,6,5,2022,4,urban,950000.0,standard
15,1750,3,2,1998,1,rural,270000.0,standard
